client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396707.mp3	396a06608e3d24619467dce105192f523b86afc2a03547a91590c83912ed8199	Ond mae rhywun annisgwyl yno i achub y dydd.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396709.mp3	25c8f5a10258059f3bde509e8c3b10c31b4deefe2d1b39408b3f822a8aceb167	Comedi afreolus am ddireidi ynfyd criw o gymeriadau brith gogledd Meirionnydd.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396710.mp3	28b1ac50302ececb23e796bc9c84859e0f2abfc9a4be2a319e40f1e9f463f0f0	Mewn triongl aflem, mae un o'r onglau mewnol yn aflem.		2	1					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396711.mp3	336f155c79abb578afb079088c40456d5c99a4773d32a98d29da7f0f1e8413ad	Stori gan Rhiannon Wyn yw Yr Alarch Du.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396717.mp3	3e46ecf5e7ab6a135fe464be99396439c664386168f86cd6b7151b483e2e04af	Mae'n hedfan mewn un genhedlaeth yn unig, rhwng diwedd Awst a Thachwedd.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396718.mp3	3e69add3b80fbc8578acb4ec8ccda297a73cac511b7e28668739c6d5547ec967	Dw i byth wedi clywed am gystadleuaeth cân Intervision.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396719.mp3	35be3b570d8fd56c79fc8bd4c7ac3f82ee2f90a7fb858d7c086fa4b599ca6975	Stori arall i blant am Delyth, y ddraig hynod.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396721.mp3	365bf3ea944dd5f25909c59e3a4a57207772c6c1e48d43c25f71b1695f7bfbf8	Cydiodd yn Mary gerfydd ei braich a'i thynnu i ffwrdd.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396723.mp3	3c414e88fb50da7663cd206efcf476fe4b8178f22c672f519c6901c2745dcadf	Erbyn i mi godi drannoeth, yr oedd Sam wedi mynd ymaith drachefn.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396730.mp3	3ec0da8b18e96c0afad3588996d0288417585b3a7d86dcc14646fbcca3cd9f82	Newidiodd ddwylo, gan leihau yn ei faint pob tro.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396732.mp3	39df9dd12966a6b57033c1b0d530cedeb14c985bfb02e9d44e48bd782a582a9c	Ganwyd Hugh Price yn Aberhonddu, yn fab i gigydd lleol, Rhys ap Rhys.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396735.mp3	3471e54a8782e87f45723eb9dc98059515e436d107b9fe0f92d505be5c4d7b89	Ac roedden nhw'n ffraeo dros y bwyd.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396736.mp3	2b75756a7c853f9fcdf30ab4fdb294f1c32d9f3b4974ac2213d5cd4d61bed924	Gwaith anodd oedd cael y car i'w le yn iawn.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396737.mp3	2a6773f9939237a93830adfa93c40db443c9d3ceca7a06ceb552c2d4886c4c41	Mae'n siŵr fod yn dda gen ti weld dy ferch yn dŵad adre.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396739.mp3	385b80cf249c2d09984104a1ff1123d41d5ac2e03eb9f5856b4ad92ece4f6b39	Y cit gorau erioed.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396741.mp3	11aac124a6b097f56de64dc5c8faace201b8939d4ec74c47ce75cd600091bfb5	Bu problemau logistaidd yn ymwneud â chodi adeilad ar safle ynysig cyfyng.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396743.mp3	3a70e030fb20c600013ad97f8d636be54ea322e16d9f3e71c4ccd6b3d7c74d94	Mae well gen i jin na fodca.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396744.mp3	339ffad27ea21e7dc0f2a499f2b718c2bfb3c950a74f75d6b50b39cdcde1a22f	Mae dy barsel di wrth y drws.		2	1					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396746.mp3	3eb98de44ea5e92fef3aea10fcc13864e618a973c71a6387b6450029c659cff8	Ceisiai gadw mor bell i ffwrdd oddi wrthi ag y gallai.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396747.mp3	35ea2dbb9e6c488e13a926ee7f7b6be1be00d9ac27c3a4e9f808024c9e167030	Mae marchnad ym Mangor bob dydd Gwener.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396748.mp3	3ba6c50673ddb966b51a715311b4c265d3223de352c40d81eb923e930c7ca134	Nid yw ei hymdrech fel dramodydd, fodd bynnag, wedi bod yn llwyddiant.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396750.mp3	30aa5e7d9447843b0bcf0880e06da3efb98c67206b58a13ef27b274ee5d385a1	Disgynnodd yn swp ar bentwr o ddail crin.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396753.mp3	3f7e4f21ac5ce7d788535491de9396f5fac07f42a31da2db1e52805756f4ee55	Perthynai'r cerfluniau i draddodiad celf soffistigedig.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396755.mp3	341688348fb21357e9ab3c33c66974085df1d150967bff85325456c501d9de9f	Dwi'n brysur yn byw bywyd oddi wrth y teledu.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396759.mp3	3dea3d787a049a93cd324a5b24eec89bd80eb811407a3f1af28a7d062c7781c1	Roedd acw barti o ferched o gwmpas y bwrdd yn yfed te.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396760.mp3	291aba52fdf8568510f6d023e90e51da65afc026ca5e3587af6d61aca3d25931	Dydy chware'r cardyn emosiynol ddim yn gweithio arna' i.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396761.mp3	287cb543b3300eca93cfaf23607c71bdaf3fa49b6215d495499f1aa09364de44	Ti'm 'di colli nghrysa fi, naddo?		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396765.mp3	40270b6d3ea4425adeb074cce50f858d48f7f48afda537a4b12ff8834eddbd4c	Yn aml, perfformir gofal parhaus mewn uned gofal dwys.		2	0					cy	
c55e72b79868a23fb9dbce25b6bd069591664ef440998bcf9473d18c30ec244b4dc92fe415610c28c2a916862ea5ced352d3d92570cc404ee7d603f273531e43	common_voice_cy_24396766.mp3	3736b1cdad2193cf1bb1c9a6f32dce5548ede32377847e9ae7f50a7c627351d1	Daw'r gair o'r Lladin am gannwyll.		2	0					cy	
